Date,Luminosite,Humidite,CO2,Temperature,Batterie
2023-12-11 09:08:10,225.0,44.0,449.0,22.3,3.6510000000000002
2023-12-11 09:58:07,232.0,42.0,457.0,23.1,3.6510000000000002
2023-12-11 10:03:06,232.0,42.0,461.0,23.1,3.6510000000000002
2023-12-11 10:08:06,235.0,42.0,467.0,23.1,3.6510000000000002
2023-12-11 10:13:06,235.0,42.0,470.0,23.3,3.6510000000000002
2023-12-11 10:18:06,239.0,42.0,470.0,23.3,3.6510000000000002
2023-12-11 10:23:06,235.0,42.0,462.0,23.3,3.6510000000000002
2023-12-11 10:28:06,232.0,41.0,467.0,23.4,3.6510000000000002
2023-12-11 10:33:06,235.0,41.0,463.0,23.4,3.6510000000000002
2023-12-11 10:38:06,235.0,41.0,483.0,23.4,3.6510000000000002
2023-12-11 10:43:06,232.0,41.0,479.0,23.5,3.6510000000000002
2023-12-11 10:48:06,235.0,41.0,476.0,23.5,3.6510000000000002
2023-12-11 10:53:06,235.0,41.0,476.0,23.5,3.6510000000000002
2023-12-11 10:58:06,239.0,41.0,473.0,23.6,3.6510000000000002
2023-12-11 11:03:06,239.0,41.0,466.0,23.6,3.6510000000000002
2023-12-11 11:08:06,242.0,40.0,479.0,23.6,3.6510000000000002
2023-12-11 11:13:06,245.0,40.0,481.0,23.6,3.6510000000000002
2023-12-11 11:18:06,249.0,40.0,479.0,23.7,3.6510000000000002
2023-12-11 11:23:06,252.0,40.0,474.0,23.7,3.6510000000000002
2023-12-11 11:28:06,262.0,40.0,494.0,23.7,3.6510000000000002
2023-12-11 11:33:06,259.0,40.0,485.0,23.7,3.6510000000000002
2023-12-11 11:38:06,262.0,40.0,476.0,23.8,3.6510000000000002
2023-12-11 11:43:06,269.0,40.0,486.0,23.8,3.648
2023-12-11 11:48:06,282.0,40.0,487.0,23.8,3.6510000000000002
2023-12-11 11:53:06,282.0,40.0,492.0,23.9,3.6510000000000002
2023-12-11 11:58:06,279.0,40.0,481.0,23.9,3.6510000000000002
2023-12-11 12:03:06,286.0,40.0,490.0,23.9,3.6510000000000002
2023-12-11 12:08:06,289.0,40.0,491.0,24.0,3.6510000000000002
2023-12-11 12:13:06,299.0,40.0,486.0,24.0,3.6510000000000002
2023-12-11 12:18:06,306.0,40.0,482.0,24.0,3.6510000000000002
2023-12-11 12:23:06,303.0,39.0,487.0,24.0,3.6510000000000002
